iterations,threads,time_in_ns,matrix_size,gmacs
13,8,28228000,200,0.28340654669122856
14,1,1292000,200,6.191950464396285
14,8,950000,200,8.421052631578947
15,1,1333000,200,6.001500375093774
15,8,10595000,200,0.7550731477111845
16,1,1317000,200,6.074411541381929
16,8,8630000,200,0.9269988412514485
17,1,1461000,200,5.475701574264202
17,8,5187000,200,1.542317331791016
18,1,1301000,200,6.149116064565718
18,8,708000,200,11.299435028248588
19,1,1357000,200,5.895357406042741
19,8,481000,200,16.632016632016633
0,1,2004000,225,5.683944610778443
0,8,999000,225,11.402027027027026
1,1,1940000,225,5.87145618556701
1,8,966000,225,11.791537267080745
2,1,2028000,225,5.61667899408284
2,8,835000,225,13.641467065868264
3,1,1965000,225,5.79675572519084
3,8,772000,225,14.754695595854923
4,1,1947000,225,5.850346687211094
4,8,672000,225,16.950334821428573
5,1,1968000,225,5.787919207317073
5,8,646000,225,17.632546439628484
6,1,1955000,225,5.826406649616368
6,8,2700000,225,4.21875
7,1,2030000,225,5.6111453201970445
7,8,687000,225,16.58024017467249
8,1,2060000,225,5.529429611650485
8,8,5315000,225,2.1431091251175918
9,1,1975000,225,5.7674050632911396
9,8,3148000,225,3.618368805590851
10,1,2003000,225,5.686782326510235
10,8,619000,225,18.40165589660743
11,1,1992000,225,5.718185240963855
11,8,700000,225,16.272321428571427
12,1,1946000,225,5.853353031860226
12,8,6877000,225,1.6563363385197034
13,1,1965000,225,5.79675572519084
13,8,691000,225,16.484261939218523
14,1,1969000,225,5.78497968511935
14,8,631000,225,18.051703645007922
15,1,1979000,225,5.755747852450733
15,8,997000,225,11.424899699097292
16,1,2001000,225,5.692466266866567
16,8,3541000,225,3.2167819824908217
17,1,1983000,225,5.744137670196672
17,8,916000,225,12.435180131004367
18,1,1996000,225,5.706725951903808
18,8,755000,225,15.086920529801324
19,1,1953000,225,5.832373271889401
19,8,6733000,225,1.691760730729244
0,1,2755000,250,5.671506352087114
0,8,2791000,250,5.598351845216768
1,1,2821000,250,5.538816022686991
1,8,1280000,250,12.20703125
2,1,2924000,250,5.343707250341997
2,8,3108000,250,5.027348777348777
3,1,2840000,250,5.501760563380282
3,8,18930000,250,0.8254094030639197
4,1,2691000,250,5.806391675956894
4,8,982000,250,15.911405295315681
5,1,2686000,250,5.817200297840655
5,8,15842000,250,0.9863022345663426
6,1,2730000,250,5.7234432234432235
6,8,1040000,250,15.024038461538462
7,1,2870000,250,5.444250871080139
7,8,9679000,250,1.6143196611220167
8,1,2857000,250,5.469023451172559
8,8,10152000,250,1.5391055949566588
9,1,2688000,250,5.812872023809524
9,8,15849000,250,0.9858666161902959
10,1,2836000,250,5.509520451339915
10,8,989000,250,15.798786653185035
11,1,2980000,250,5.243288590604027
11,8,10087000,250,1.549023495588381
12,1,2825000,250,5.530973451327434
12,8,31713000,250,0.49270015451076843
13,1,2868000,250,5.448047419804742
13,8,3732000,250,4.186763129689175
14,1,3082000,250,5.069759896171317
14,8,1683000,250,9.284016636957814
15,1,3165000,250,4.936808846761453
15,8,1202000,250,12.999168053244592
16,1,2925000,250,5.3418803418803416
16,8,1185000,250,13.185654008438819
17,1,2810000,250,5.56049822064057
17,8,1791000,250,8.724176437744276
18,1,2703000,250,5.780614132445431
18,8,3106000,250,5.03058596265293
19,1,2811000,250,5.55852009960868
19,8,2153000,250,7.257315373896888
0,1,3748000,275,5.548792689434365
0,8,1333000,275,15.60155663915979
1,1,3879000,275,5.361401134312967
1,8,1752000,275,11.870362442922374
2,1,3814000,275,5.452772679601468
2,8,1346000,275,15.450872956909361
3,1,3726000,275,5.581555287171229
3,8,1734000,275,11.993584198385236
4,1,3714000,275,5.599589391491653
4,8,10721000,275,1.939826042346796
5,1,3753000,275,5.541400213162803
5,8,14407000,275,1.4435257166655098
6,1,3708000,275,5.60865021574973
6,8,1716000,275,12.119391025641026
7,1,3778000,275,5.50473133933298
7,8,4271000,275,4.8693221727932565
8,1,3719000,275,5.5920610379134175
8,8,1363000,275,15.258162142333088
9,1,3805000,275,5.465670170827858
9,8,1200000,275,17.330729166666668
10,1,3950000,275,5.2650316455696204
10,8,1951000,275,10.659597642234752
11,1,3740000,275,5.560661764705882
11,8,3912000,275,5.316174591002045
12,1,3766000,275,5.522271640998407
12,8,9584000,275,2.169957742070117
13,1,3787000,275,5.491649062582519
13,8,2397000,275,8.676209845640384
14,1,3719000,275,5.5920610379134175
14,8,2109000,275,9.86101232811759
15,1,3766000,275,5.522271640998407
15,8,3686000,275,5.642125610417797
16,1,3700000,275,5.620777027027027
16,8,1185000,275,17.550105485232066
17,1,3796000,275,5.478628819810327
17,8,1226000,275,16.963193311582383
18,1,3787000,275,5.491649062582519
18,8,1371000,275,15.169128373450036
19,1,3692000,275,5.6329563921993495
19,8,18145000,275,1.1461490768806835
0,1,4568000,300,5.910683012259194
0,8,1497000,300,18.03607214428858
1,1,4609000,300,5.85810371013235
1,8,7626000,300,3.5405192761605035
2,1,4698000,300,5.747126436781609
2,8,1971000,300,13.698630136986301
3,1,4755000,300,5.678233438485805
3,8,1527000,300,17.68172888015717
4,1,4632000,300,5.829015544041451
4,8,4923000,300,5.484460694698354
5,1,4989000,300,5.411906193625978
5,8,5070000,300,5.325443786982248
6,1,5423000,300,4.978794025447169
6,8,1519000,300,17.774851876234365
7,1,4574000,300,5.902929602098819
7,8,1504000,300,17.95212765957447
8,1,5311000,300,5.083788363773301
8,8,2431000,300,11.106540518305223
9,1,4676000,300,5.774165953806673
9,8,3864000,300,6.987577639751553
10,1,4557000,300,5.924950625411455
10,8,2218000,300,12.173128944995492
11,1,4605000,300,5.863192182410423
11,8,1517000,300,17.798286090969018
12,1,4646000,300,5.81145071028842
12,8,2156000,300,12.523191094619666
13,1,5353000,300,5.043900616476742
13,8,2120000,300,12.735849056603774
14,1,4617000,300,5.847953216374269
14,8,10751000,300,2.511394288903358
15,1,5262000,300,5.131128848346636
15,8,3223000,300,8.37728824076947
16,1,4611000,300,5.8555627846454135
16,8,7350000,300,3.673469387755102
17,1,4731000,300,5.70703868103995
17,8,11800000,300,2.288135593220339
18,1,5267000,300,5.126257831782799
18,8,2901000,300,9.307135470527404
19,1,4679000,300,5.77046377431075
19,8,1505000,300,17.940199335548172
0,1,6228000,325,5.5119018946692355
0,8,2069000,325,16.59165055582407
1,1,6237000,325,5.5039482122815455
1,8,4072000,325,8.430286100196463
2,1,6113000,325,5.615593816456731
2,8,2048000,325,16.76177978515625
3,1,6232000,325,5.508364088575096
3,8,2547000,325,13.477866117000392
4,1,6160000,325,5.572747564935065
4,8,10702000,325,3.2076364230984864
5,1,6312000,325,5.438549588086185
5,8,3789000,325,9.059943256795988
6,1,6298000,325,5.450639091775167
6,8,1949000,325,17.61319907644946
7,1,6579000,325,5.217833257333941
7,8,7247000,325,4.736873878846419
8,1,6044000,325,5.679703011250827
8,8,10109000,325,3.3957982985458504
9,1,6228000,325,5.5119018946692355
9,8,1901000,325,18.057930036822725
10,1,6245000,325,5.4968975180144115
10,8,5392000,325,6.366492025222552
11,1,6160000,325,5.572747564935065
11,8,15412000,325,2.227363418115754
12,1,6098000,325,5.629407182682847
12,8,2970000,325,11.558291245791246
13,1,6028000,325,5.694778533510285
13,8,1972000,325,17.407771298174442
14,1,6259000,325,5.484602172871066
14,8,14194000,325,2.4184954910525573
15,1,6019000,325,5.70329373650108
15,8,2520000,325,13.622271825396826
16,1,6321000,325,5.430806043347571
16,8,2748000,325,12.492039665211063
17,1,6425000,325,5.342898832684825
17,8,2742000,325,12.519374544128373
18,1,6303000,325,5.446315246707917
18,8,1923000,325,17.851339053562143
19,1,6379000,325,5.381427339708418
19,8,11548000,325,2.972646778662972
0,1,7666000,350,5.592877641534047
0,8,11511000,350,3.7246981148466682
1,1,7854000,350,5.459001782531194
1,8,2378000,350,18.029857022708157
2,1,8141000,350,5.2665520206362855
2,8,8781000,350,4.882701286869377
3,1,7978000,350,5.374153923289045
3,8,6517000,350,6.578947368421052
4,1,7927000,350,5.40872965813044
4,8,10888000,350,3.937821454812638
5,1,7861000,350,5.454140694568121
5,8,5067000,350,8.461614367475823
6,1,7782000,350,5.509509123618607
6,8,2341000,350,18.314822725331055
7,1,7789000,350,5.504557709590448
7,8,7848000,350,5.463175331294598
8,1,7843000,350,5.466658166517914
8,8,6058000,350,7.077418289864641
9,1,7850000,350,5.461783439490445
9,8,4116000,350,10.416666666666666
10,1,7859000,350,5.455528693217967
10,8,2660000,350,16.11842105263158
11,1,7777000,350,5.513051305130513
11,8,9656000,350,4.440244407622203
12,1,7828000,350,5.47713336739908
12,8,5541000,350,7.737772965168742
13,1,7793000,350,5.501732323880406
13,8,3967000,350,10.807915301235191
14,1,7796000,350,5.499615187275526
14,8,18862000,350,2.2730887498674583
15,1,7825000,350,5.479233226837061
15,8,2913000,350,14.718503261242706
16,1,7771000,350,5.5173079397760905
16,8,3247000,350,13.20449645826917
17,1,7914000,350,5.41761435430882
17,8,3845000,350,11.150845253576072
18,1,7953000,350,5.391047403495536
18,8,6291000,350,6.815291686536321
19,1,7745000,350,5.535829567462879
19,8,23438000,350,1.8292943083880877
0,1,9336000,375,5.648497750642673
0,8,4101000,375,12.85890636430139
1,1,9566000,375,5.512688166422747
1,8,10412000,375,5.064769016519401
2,1,9451000,375,5.579766691355412
2,8,9623000,375,5.480034812428556
3,1,9512000,375,5.5439839150546675
3,8,21020000,375,2.508771408182683
4,1,9482000,375,5.561524467411939
4,8,20037000,375,2.631849827818536
5,1,9573000,375,5.508657160764651
5,8,18554000,375,2.842210574539183
6,1,9653000,375,5.463003729410546
6,8,2980000,375,17.69609899328859
7,1,9586000,375,5.501186626330065
7,8,14820000,375,3.558324898785425
8,1,9497000,375,5.552740339054438
8,8,5218000,375,10.106242813338444
9,1,9513000,375,5.543401135288552
9,8,6388000,375,8.255224639949907
10,1,9516000,375,5.541653530895334
10,8,9064000,375,5.818002537511033
11,1,9500000,375,5.550986842105263
11,8,2991000,375,17.63101805416249
12,1,9622000,375,5.480604344211183
12,8,23612000,375,2.2333718024733185
13,1,9532000,375,5.532351552664708
13,8,43741000,375,1.205605153060058
14,1,14560000,375,3.6218664148351647
14,8,15174000,375,3.475311387900356
15,1,9589000,375,5.499465533423715
15,8,3569000,375,14.775672457270945
16,1,9648000,375,5.465834888059701
16,8,12051000,375,4.375933532486931
17,1,9514000,375,5.542818478032373
17,8,17753000,375,2.9704486565650874
18,1,9440000,375,5.586268538135593
18,8,11810000,375,4.465230736663845
19,1,9491000,375,5.5562506585185965
19,8,11798000,375,4.469772419054077
0,1,11092000,400,5.769924269743959
0,8,4444000,400,14.401440144014401
1,1,11257000,400,5.6853513369459
1,8,3485000,400,18.36441893830703
2,1,11210000,400,5.709188224799286
2,8,33811000,400,1.8928750998195853
3,1,11265000,400,5.681313803817133
3,8,20186000,400,3.1705142177746954
4,1,11253000,400,5.687372256287213
4,8,4198000,400,15.245354930919486
5,1,11217000,400,5.705625390032986
5,8,18462000,400,3.4665800021666127
6,1,11129000,400,5.750741306496541
6,8,6813000,400,9.393805959195655
7,1,11034000,400,5.800253761102049
7,8,5022000,400,12.743926722421346
8,1,11134000,400,5.748158792886653
8,8,12568000,400,5.092297899427116
9,1,11028000,400,5.803409503083062
9,8,34148000,400,1.8741946819725899
10,1,11020000,400,5.807622504537205
10,8,6212000,400,10.302640051513201
11,1,11026000,400,5.8044621803011065
11,8,25605000,400,2.499511814098809
12,1,11025000,400,5.804988662131519
12,8,9304000,400,6.878761822871883
13,1,11259000,400,5.6843414157562835
13,8,11123000,400,5.753843387575294
14,1,11118000,400,5.756431012772081
14,8,9707000,400,6.593180179252086
15,1,11066000,400,5.783480932586301
15,8,13674000,400,4.680415386865584
16,1,11150000,400,5.739910313901345
16,8,5478000,400,11.683096020445419
17,1,11155000,400,5.737337516808606
17,8,16010000,400,3.9975015615240475
18,1,11056000,400,5.788712011577424
18,8,27985000,400,2.286939431838485
19,1,11036000,400,5.799202609641174
19,8,8458000,400,7.566800662095058
0,1,14159000,425,5.421684087859312
0,8,11705000,425,6.558361811191799
1,1,14080000,425,5.452104048295454
1,8,31747000,425,2.4180434371751662
2,1,14302000,425,5.367474828695287
2,8,30803000,425,2.492147680420738
3,1,14262000,425,5.382528747721217
3,8,31104000,425,2.4680306391460904
4,1,14327000,425,5.3581088155231384
4,8,5529000,425,13.884178875022608
5,1,14310000,425,5.364474143955276
5,8,7382000,425,10.399028041181252
6,1,14223000,425,5.397287843633551
6,8,18612000,425,4.124523157102944
7,1,14165000,425,5.419387575008825
7,8,24440000,425,3.1409830196399344
8,1,14319000,425,5.361102381451219
8,8,7680000,425,9.995524088541666
9,1,14159000,425,5.421684087859312
9,8,11510000,425,6.669472198088618
10,1,14450000,425,5.3125
10,8,71517000,425,1.0733898933120796
11,1,18815000,425,4.080022588360351
11,8,8069000,425,9.51364791176106
12,1,21420000,425,3.583829365079365
12,8,22107000,425,3.4724578187904283
13,1,24169000,425,3.176201952914891
13,8,54459000,425,1.4096040140289026
14,1,14433000,425,5.318757361601884
14,8,17185000,425,4.467013383764911
15,1,14545000,425,5.277801650051564
15,8,27016000,425,2.841487451880367
16,1,14380000,425,5.338360570236439
16,8,28382000,425,2.7047292297935313
17,1,15514000,425,4.948151669459842
17,8,15817000,425,4.853361889106657
18,1,14363000,425,5.344679036413005
18,8,8360000,425,9.182491028708133
19,1,14685000,425,5.227485529451822
19,8,9265000,425,8.285550458715596
0,1,16637000,450,5.477249504117329
0,8,6086000,450,14.972888596779494
1,1,16780000,450,5.43057210965435
1,8,10372000,450,8.785672965676822
2,1,16764000,450,5.435755189692197
2,8,35794000,450,2.545817734815891
3,1,18123000,450,5.0281410362522765
3,8,13902000,450,6.554812257229176
4,1,17247000,450,5.283527570012176
4,8,8978000,450,10.14981064825128
5,1,16889000,450,5.395523713659778
5,8,24415000,450,3.7323366782715546
6,1,17327000,450,5.259133144802909
6,8,22965000,450,3.967994774657087
7,1,16917000,450,5.386593367618372
7,8,7637000,450,11.932041377504255
8,1,16922000,450,5.38500177284009
8,8,8527000,450,10.686642429928462
9,1,17223000,450,5.290890088834698
9,8,6269000,450,14.535811134152178
10,1,16812000,450,5.420235546038544
10,8,10013000,450,9.10066913013083
11,1,16737000,450,5.4445241082631295
11,8,9621000,450,9.471468662301216
12,1,16814000,450,5.419590817176163
12,8,7093000,450,12.847173269420555
13,1,16791000,450,5.427014472038592
13,8,16926000,450,5.383729174051755
14,1,16730000,450,5.446802151823072
14,8,28857000,450,3.157812662438923
15,1,16885000,450,5.396801895173231
15,8,51147000,450,1.7816294210804153
16,1,16982000,450,5.365975739017784
16,8,16962000,450,5.372302794481783
17,1,16846000,450,5.40929597530571
17,8,18786000,450,4.850686681571383
18,1,16979000,450,5.366923847105248
18,8,5267000,450,17.301120182266946
19,1,16767000,450,5.434782608695652
19,8,14865000,450,6.130171543895056
0,1,20605000,475,5.201255763164281
0,8,9838000,475,10.89366487090872
1,1,20369000,475,5.261518729441799
1,8,12273000,475,8.732329096390451
2,1,20165000,475,5.3147470865360775
2,8,11605000,475,9.234974149073675
3,1,20216000,475,5.301339285714286
3,8,8478000,475,12.641174215616891
4,1,20221000,475,5.30002843578458
4,8,17456000,475,6.139543709899175
5,1,20152000,475,5.318175615323541
5,8,37020000,475,2.8949723122636413
6,1,20253000,475,5.291654322816373
6,8,44591000,475,2.403441838039066
7,1,20454000,475,5.239653612985236
7,8,7328000,475,14.624982942139738
8,1,20308000,475,5.277322976167028
8,8,9399000,475,11.40247632726886
9,1,20178000,475,5.311322975517891
9,8,13989000,475,7.661153406247766
10,1,20235000,475,5.296361502347418
10,8,20393000,475,5.25532658265091
11,1,20116000,475,5.327693129846888
11,8,39507000,475,2.7127312881261547
12,1,20149000,475,5.318967442552981
12,8,43620000,475,2.456943489225126
13,1,20316000,475,5.275244880882063
13,8,70460000,475,1.5210314362759012
14,1,20400000,475,5.253523284313726
14,8,48613000,475,2.2045929072470325
15,1,20426000,475,5.246836140213453
15,8,20599000,475,5.202770765571144
16,1,20264000,475,5.288781829846032
16,8,12500000,475,8.57375
17,1,20196000,475,5.30658917607447
17,8,41143000,475,2.6048629171426487
18,1,21046000,475,5.0922681269599925
18,8,74127000,475,1.4457872974759534
19,1,20231000,475,5.297408679748901
19,8,8231000,475,13.02051694812295
0,1,22812000,500,5.479572155006137
0,8,9396000,500,13.303533418475947
1,1,22744000,500,5.495954977136828
1,8,14489000,500,8.627234453723515
2,1,22841000,500,5.472615034368022
2,8,36780000,500,3.3985861881457313
3,1,23161000,500,5.397003583610379
3,8,17438000,500,7.168253240050465
4,1,23375000,500,5.347593582887701
4,8,16750000,500,7.462686567164179
5,1,22896000,500,5.4594689028651295
5,8,10011000,500,12.486265108380781
6,1,22667000,500,5.514624784929634
6,8,10247000,500,12.19869230018542
7,1,22671000,500,5.513651801861409
7,8,10974000,500,11.39055950428285
8,1,22877000,500,5.464003147265813
8,8,16599000,500,7.530574130971745
9,1,22858000,500,5.468544929565141
9,8,17600000,500,7.1022727272727275
10,1,22852000,500,5.469980745667775
10,8,11024000,500,11.338896952104498
11,1,22631000,500,5.523397110158632
11,8,22678000,500,5.5119499073992415
12,1,22927000,500,5.452087058926157
12,8,55599000,500,2.248241874853864
13,1,22945000,500,5.447809980387884
13,8,36368000,500,3.437087549494061
14,1,23174000,500,5.393976007594718
14,8,23928000,500,5.2240053493814775
15,1,22812000,500,5.479572155006137
15,8,28852000,500,4.332455289061417
16,1,22841000,500,5.472615034368022
16,8,19477000,500,6.417826153925143
17,1,22680000,500,5.511463844797178
17,8,21099000,500,5.924451395800749
18,1,22781000,500,5.487028664237742
18,8,21354000,500,5.853704224032968
19,1,22627000,500,5.524373536041013
19,8,19844000,500,6.299133239266277
0,1,27429000,525,5.275552335119764
0,8,10211000,525,14.1712981098815
1,1,27141000,525,5.331532552227258
1,8,13722000,525,10.545337778749454
2,1,27089000,525,5.341766953375909
2,8,30957000,525,4.674326485124528
3,1,27620000,525,5.239070419985517
3,8,12662000,525,11.428141288895908
